sentence,law
Smith test for neutral laws of general applicability,constitutional law
Religious Freedom Restoration Act restores Sherbert test,constitutional law
Religious Land Use and Institutionalized Persons Act protects religious exercise,constitutional law
Ministerial exception for religious institutions employment,constitutional law
Fourth Amendment protects against unreasonable searches,constitutional law
Probable cause required for warrants,constitutional law
Particularity requirement for warrants,constitutional law
Exclusionary rule excludes illegally obtained evidence,constitutional law
Good faith exception to exclusionary rule,constitutional law
Plain view doctrine allows seizure of visible evidence,constitutional law
Search incident to arrest exception,constitutional law
Automobile exception for vehicle searches,constitutional law
Consent exception for voluntary permission,constitutional law
Emergency exception for exigent circumstances,constitutional law
Border exception for international crossings,constitutional law
Special needs exception for administrative searches,constitutional law
Terry stop allows brief investigative detention,constitutional law
Reasonable suspicion required for Terry stop,constitutional law
Stop and frisk allows pat-down for weapons,constitutional law
Ownership of land shall be registered in the land registry,property law
The tenant must pay rent on the agreed date,property law
Eviction may only occur following a court order,property law
Property rights include the right to use and dispose of goods,property law
Co-owners share rights and obligations over property,property law
Transfer of ownership requires a valid title,property law
Mortgages secure repayment of debts,property law
Adverse possession may confer title after time,property law
Lease agreements must specify duration and rent,property law
Easements grant usage rights over another's land,property law
Fee simple absolute is maximum ownership interest,property law
Fee simple defeasible may terminate upon condition,property law
Life estate lasts for lifetime of measuring life,property law
Remainder follows life estate,property law
Reversion returns property to grantor,property law
Possibility of reverter for fee simple determinable,property law
Right of entry for fee simple subject to condition subsequent,property law
Tenancy in common involves undivided fractional interests,property law
Joint tenancy includes right of survivorship,property law
Tenancy by the entirety for married couples,property law
Community property for marital assets,property law
Separate property for individual assets,property law
Concurrent ownership involves multiple owners,property law
Partition divides co-owned property,property law
Ouster excludes co-owner from property,property law
Waste damages property by tenant,property law
Ameliorative waste improves property,property law
Permissive waste allows deterioration,property law
Voluntary waste actively damages property,property law
Equitable waste maliciously damages property,property law
Future interests include remainders and executory interests,property law
Vested remainder ready to become possessory,property law
Contingent remainder depends on uncertain event,property law
Executory interest cuts short prior estate,property law
Rule Against Perpetuities limits future interests,property law
Wait-and-see approach to Rule Against Perpetuities,property law
Cy pres doctrine reforms invalid interests,property law
Marketable title free from reasonable doubt,property law
Quiet title action establishes ownership,property law
Title insurance protects against defects,property law
Recording statutes establish priority of claims,property law
Race statute favors first to record,property law
Notice statute protects bona fide purchasers without notice,property law
Race-notice statute requires recording without notice,property law
Chain of title shows ownership history,property law
Abstract of title summarizes ownership history,property law
Torrens system registers title conclusively,property law
Adverse possession requires open notorious continuous hostile actual possession,property law
Color of title claim under defective instrument,property law
Good faith requirement for adverse possession,property law
Tacking combines successive possessions,property law
Disability tolls adverse possession period,property law
Intermittent possession insufficient for adverse possession,property law
Permission defeats hostility requirement,property law
Constructive adverse possession under color of title,property law
Easement appurtenant benefits adjoining land,property law
Easement in gross benefits individual,property law
Affirmative easement allows specific use,property law
Negative easement prohibits specific use,property law
Express easement created by agreement,property law
Implied easement by prior use,property law
Easement by necessity for landlocked parcel,property law
Prescriptive easement by adverse use,property law
Easement by estoppel based on reliance,property law
Profit a prendre allows removal of resources,property law
License grants temporary permission,property law
Covenant runs with land if touches and concerns,property law
Real covenant enforceable at law,property law
Equitable servitude enforceable in equity,property law
Touch and concern requirement for covenants,property law
Horizontal privity for original parties,property law
Vertical privity for successors,property law
Notice requirement for covenants,property law
Common interest community covenants,property law
Homeowners association regulations,property law
Condominium ownership of individual unit plus common areas,property law
Cooperative ownership of shares in corporation,property law
Timeshare ownership of periodic use,property law
Leasehold estate for temporary possession,property law
Tenancy for years has fixed duration,property law
Periodic tenancy continues for periods,property law
Tenancy at will has no fixed term,property law
Tenancy at sufferance holds over after lease,property law
Holdover tenant remains after lease expiration,property law
Security deposit protects against damages,property law
Constructive eviction makes premises uninhabitable,property law
Actual eviction removes tenant,property law
Warranty of habitability requires livable conditions,property law
Quiet enjoyment protects tenant possession,property law
Fixture becomes part of real property,property law
Annexation attaches item to property,property law
Adaptation makes item specially for property,property law
Intent determines fixture status,property law
Trade fixture removable by tenant,property law
Emblements are growing crops,property law
Water rights include riparian and prior appropriation,property law
Riparian rights for watercourse abutters,property law
Prior appropriation for first in time use,property law
Groundwater rights regulated,property law
Surface water drainage rules,property law
Lateral support for adjoining land,property law
Subjacent support for underlying land,property law
Air rights above property,property law
Mineral rights below property,property law
Zoning regulates land use,property law
Euclidean zoning separates uses,property law
Conditional use permits exceptions,property law
Variance allows deviation from zoning,property law
Nonconforming use predates zoning,property law
Building codes regulate construction,property law
Historic preservation protects landmarks,property law
Eminent domain takes property for public use,property law
Inverse condemnation claims taking without formal action,property law
Regulatory taking limits use substantially,property law
Physical occupation taking,property law
Total deprivation taking,property law
Nuisance law addresses interference with use,property law
Private nuisance affects individual,property law
Balancing test for nuisance reasonableness,property law
Commercial entities must register with corporate regulators,commercial law
A company may issue shares subject to disclosure,commercial law
Directors owe fiduciary duties to the corporation,commercial law
Trade competition is regulated to prevent market abuse,commercial law
Consumer protection laws prohibit unfair terms,commercial law
Banking transactions must comply with financial regulations,commercial law
Intellectual property rights protect inventions and works,commercial law
A franchisor must supply a disclosure document,commercial law
Commercial arbitration is enforceable under statute,commercial law
Product recalls may be ordered for safety reasons,commercial law
Uniform Commercial Code governs commercial transactions,commercial law
Sale of goods under Article 2,commercial law
Negotiable instruments under Article 3,commercial law
Bank deposits and collections under Article 4,commercial law
Letters of credit under Article 5,commercial law
Bulk sales under Article 6,commercial law
Documents of title under Article 7,commercial law
Investment securities under Article 8,commercial law
Secured transactions under Article 9,commercial law
Good faith requirement in commercial dealings,commercial law
Course of dealing between parties,commercial law
Usage of trade in industry,commercial law
Course of performance under contract,commercial law
Merchant rules for business professionals,commercial law
Battle of forms under UCC,commercial law
Cure right for nonconforming goods,commercial law
Revocation of acceptance for defective goods,commercial law
Cover allows buyer to purchase substitute goods,commercial law
Incidental damages for commercial transactions,commercial law
Consequential damages for commercial losses,commercial law
Liquidated damages if reasonable,commercial law
Specific performance for unique goods,commercial law
Warranty of title for goods,commercial law
Express warranties by affirmation,commercial law
Disclaimer of warranties must be conspicuous,commercial law
Limitation of remedies allowed,commercial law
Unconscionability invalidates unfair terms,commercial law
Statute of frauds for sales over certain amount,commercial law
Risk of loss rules for goods,commercial law
Shipment contracts risk passes to buyer upon delivery to carrier,commercial law
Destination contracts risk passes to buyer upon arrival,commercial law
CIF cost insurance freight contracts,commercial law
FOB free on board contracts,commercial law
FAS free alongside ship contracts,commercial law
Ex-ship contracts delivery from ship,commercial law
No arrival no sale contracts,commercial law
Sale on approval allows return,commercial law
Sale or return allows return for credit,commercial law
Consignment sales with agent,commercial law
Auction sales with bidding,commercial law
With reserve auctions allow withdrawal,commercial law
Without reserve auctions require sale,commercial law
Commercial paper includes negotiable instruments,commercial law
Promissory note unconditional promise to pay,commercial law
Draft order to pay money,commercial law
Check drawn on bank payable on demand,commercial law
Certificate of deposit bank acknowledgment of deposit,commercial law
Bearer paper payable to holder,commercial law
Order paper payable to order,commercial law
Negotiation transfers instrument,commercial law
Indorsement signature on instrument,commercial law
Blank indorsement makes instrument bearer paper,commercial law
Special indorsement specifies payee,commercial law
Restrictive indorsement limits further transfer,commercial law
Qualified indorsement without liability,commercial law
Accommodation party signs for another,commercial law
Holder in due course takes free of defenses,commercial law
Shelter rule allows transfer of rights,commercial law
Real defenses valid against holder in due course,commercial law
Personal defenses not valid against holder in due course,commercial law
Forgery defense against unauthorized signature,commercial law
Alteration defense against changed instrument,commercial law
Discharge of instrument extinguishes obligation,commercial law
Bank collection process for checks,commercial law
Duty of ordinary care for banks,commercial law
Final payment rule for checks,commercial law
Charge-back for returned items,commercial law
Stop payment orders by drawer,commercial law
Wrongful dishonor of check,commercial law
Customer death or incompetence effect on bank,commercial law
Altered check liability,commercial law
Forged check liability,commercial law
Comparative negligence for check fraud,commercial law
Electronic funds transfers regulated,commercial law
Wire transfers under Article 4A,commercial law
Automated clearing house transactions,commercial law
Credit card transactions regulated,commercial law
Debit card transactions regulated,commercial law
Security interest in personal property,commercial law
Attachment creates enforceable interest,commercial law
Perfection makes interest effective against others,commercial law
Filing financing statement perfects interest,commercial law
Possession perfects interest,commercial law
Control perfects interest for certain collateral,commercial law
Automatic perfection for purchase money security interests,commercial law
Priority rules determine competing claims,commercial law
First to file or perfect rule,commercial law
Purchase money security interest priority,commercial law
Buyer in ordinary course takes free of security interest,commercial law
Floating lien covers after-acquired property,commercial law
Proceeds from collateral covered,commercial law
Default allows secured party to repossess,commercial law
Commercially reasonable disposition of collateral,commercial law
Deficiency judgment for remaining debt,commercial law
Surplus returned to debtor,commercial law
Redemption right before disposition,commercial law
