sentence,label
"Except as otherwise provided by law, personal data shall not be disclosed to third parties.",exception
"This provision does not apply to information that is already publicly available.",exception
"A search may be conducted without a warrant only in exigent circumstances.",exception
"Evidence is inadmissible unless it falls within a recognized exception.",exception
"Except with the consent of the parties, arbitration proceedings shall remain confidential.",exception
"A minor may enter a contract only with parental consent, except for necessities.",exception
"A contract for the sale of land must be in writing unless performance has already occurred.",exception
"A party is not liable for delay where performance is prevented by force majeure.",exception
"Except in cases of fraud, a signed document is presumed to reflect true intent.",exception
"No person may enter restricted premises except authorized personnel.",exception
"Disclosure is prohibited unless required by a court order.",exception
"A driver may exceed the speed limit only to avoid immediate danger.",exception
"Except during emergencies, construction work is prohibited at night.",exception
"Employees may access records only as necessary for their duties.",exception
"An appeal is not allowed where the decision is declared final by law.",exception
"A license may be renewed except where the holder is legally disqualified.",exception
"Processing of sensitive data is prohibited unless explicit consent is obtained.",exception
"A public body shall provide access to records except where disclosure endangers safety.",exception
"No obligation to disclose exists where legal privilege applies.",exception
"A witness must answer questions except those protected by privilege.",exception
"Except in urgent cases, notice must be given before contract termination.",exception
"A penalty shall not be imposed unless the person had an opportunity to be heard.",exception
"Payment shall be made in local currency unless otherwise agreed.",exception
"A guarantee is enforceable only in writing except where law provides otherwise.",exception
"The buyer may reject goods except for minor defects.",exception
"A controller must respond within one month unless an extension is justified.",exception
"Personal data shall be erased after the retention period except where required by law.",exception
"No entry onto private land is allowed except with consent or lawful warrant.",exception
"Monitoring of communications is prohibited except for lawful security purposes.",exception
"A person is not guilty where the act was accidental and without negligence.",exception
"Except for lawful protest, obstruction of highways is prohibited.",exception
"Meetings are open to the public except for closed sessions allowed by law.",exception
"Disputes shall be resolved by arbitration except where parties agree otherwise.",exception
"Goods may be returned within fourteen days except customized goods.",exception
"Services shall not be suspended except for nonpayment in bad faith.",exception
"A person may refuse to answer questions except where immunity applies.",exception
"Enforcement shall be stayed pending appeal except in urgent cases.",exception
"Damages may be reduced except where harm was intentional.",exception
"No damages are awarded for trivial harm except for intentional violations.",exception
"Limitation periods begin upon discovery except in cases of fraud.",exception
"A landlord may enter premises only with notice except in emergencies.",exception
"A minor may work limited hours except in hazardous occupations.",exception
"Disclosure to regulators is permitted except where secrecy obligations apply.",exception
"Property seizure requires judicial authorization except for lawful searches.",exception
"Copying copyrighted material is prohibited except for lawful exceptions.",exception
"Property may be used without consent only where necessity applies.",exception
"This Act applies to all persons except where expressly excluded.",exception
"A public officer must recuse themselves except where no alternative exists.",exception
"Reporting deadlines apply except where compliance is impossible.",exception
"A party may terminate for breach except where the breach is minor.",exception
"Penalties shall not be cumulative except as expressly provided.",exception
"Written notice is required except where waived by the parties.",exception
"A duty to rescue exists only in special relationships except by statute.",exception
"Transfers intended to defeat creditors are void except for bona fide purchasers.",exception
"Processing may continue except where consent has been withdrawn.",exception
"Search warrants are required except in cases of immediate danger.",exception
"Medical treatment requires consent except in life-threatening emergencies.",exception
"Professional secrecy applies except where disclosure is legally mandated.",exception
"Public procurement rules apply except for emergency contracts.",exception
"Environmental permits are required except for minor activities.",exception
"Noise restrictions apply except during public emergencies.",exception
"Tax exemptions apply only where statutory conditions are met.",exception
"Employees may work overtime except where prohibited by law.",exception
"Freedom of expression may be restricted except where constitutionally protected.",exception
"Administrative decisions are enforceable except where suspended by appeal.",exception
"Foreign judgments are recognized except where public policy is violated.",exception
"Immunity does not apply except as expressly granted.",exception
"Data transfers abroad are prohibited except with adequate safeguards.",exception
"Collective action is permitted except where it threatens public order.",exception
"Private property is inviolable except for lawful expropriation.",exception
"Judicial hearings are public except where privacy requires closure.",exception
"Licensing requirements apply except to exempted activities.",exception
"Competition rules apply except for de minimis agreements.",exception
"State aid is prohibited except where authorized by law.",exception
"Monopolies are prohibited except where legally granted.",exception
"Import restrictions apply except under trade agreements.",exception
"Export controls apply except for permitted goods.",exception
"Customs duties apply except for exempted items.",exception
"Bank secrecy applies except for lawful investigations.",exception
"Confidentiality obligations apply except where disclosure is required by law.",exception
"Public funding may be withdrawn except where vested rights exist.",exception
"Tax confidentiality applies except for authorized disclosures.",exception
"Professional licenses are required except for exempt professions.",exception
"Surveillance is prohibited except with judicial authorization.",exception
"Searches require probable cause except for administrative inspections.",exception
"Seizure of assets is prohibited except under court order.",exception
"Use of public space requires permission except for lawful assembly.",exception
"Demonstrations may be restricted except for peaceful gatherings.",exception
"Employment protections apply except during probationary periods.",exception
"Dismissal protections do not apply except to protected categories.",exception
"Consumer withdrawal rights apply except to perishable goods.",exception
"Refund obligations apply except where goods are damaged by consumer.",exception
"Insurance coverage applies except for excluded risks.",exception
"Liability exclusions apply except for gross negligence.",exception
"Limitation of liability clauses apply except where prohibited.",exception
"Public service obligations apply except during force majeure.",exception
"Contractual penalties apply except where disproportionate.",exception
"Arbitration clauses apply except for non-arbitrable disputes.",exception
"Mediation is mandatory except where urgent relief is sought.",exception
"Public access to information applies except for classified materials.",exception
"Archival retention applies except where destruction is authorized.",exception
"Data subject rights apply except where restricted by law.",exception
"Correction of records is required except where accuracy is disputed.",exception
"Right to erasure applies except where retention is legally required.",exception
"Freedom of movement may be restricted except for citizens’ return.",exception
"Residence permits are required except for short stays.",exception
"Work permits are required except for exempt categories.",exception
"Health and safety rules apply except where risk is negligible.",exception
"Building permits are required except for minor works.",exception
"Zoning restrictions apply except for existing nonconforming uses.",exception
"Environmental impact assessments are required except for minor projects.",exception
"Public consultation is required except in emergency situations.",exception
"Access to justice is guaranteed except for abusive claims.",exception
"Legal aid is available except where financial thresholds are exceeded.",exception
"Judicial immunity applies except for intentional misconduct.",exception
"Parliamentary immunity applies except for serious crimes.",exception
"Statutory interpretation follows the text except where absurd results arise.",exception
"Retroactive application of law is prohibited except for more lenient rules.",exception
"Criminal liability requires intent except for strict liability offenses.",exception
"Attempt is punishable except where the law provides otherwise.",exception
"Accessories are liable except where they acted under duress.",exception
"Penalties are individualized except where mandatory minimums apply.",exception
"Confiscation applies except to property of innocent third parties.",exception
"Rehabilitation measures apply except where imprisonment is mandatory.",exception
"Suspended sentences apply except for serious offenses.",exception
"Alternative sanctions apply except where public safety requires custody.",exception
"Early release may be granted except for excluded crimes.",exception
"Amnesty applies except to international crimes.",exception
"Statutes of limitation apply except for imprescriptible offenses.",exception
"Victim compensation applies except where harm is not proven.",exception
"Restorative justice applies except where inappropriate.",exception
"Juvenile protections apply except for serious violent offenses.",exception
"Parental consent is required except where the minor is emancipated.",exception
"Adoption secrecy applies except where disclosure is authorized.",exception
"Family mediation is required except in cases of domestic violence.",exception
"Custody decisions apply except where immediate danger exists.",exception
"Support obligations apply except where the child is self-sufficient.",exception
